deck_id,deck_name,archetype,validation_status,source_kind,source_confidence,tempo,prize_profile,setup_complexity,pilot_complexity,pokemon_count,trainer_count,energy_count,unique_card_count,damage_engine,resource_engine,primary_win_condition,key_decisions,suggested_training_role,strengths,risks
EX_01,Mega Kangaskhan / Lillie's Clefairy,Mega Kangaskhan Clefairy midrange,validated,canonical_csv,high,midrange,mixed,medium,medium,22,28,10,24,Mega Kangaskhan pressure backed by Clefairy scaling,draw-and-search core with flexible attackers,trade efficiently while scaling the correct attacker for the board,opening attacker; when to expose a multi-Prize Pokemon; energy allocation,balanced baseline for prize-trade and attacker-selection policies,flexible attack lines; mixed prize map; stable midgame,awkward openings; premature multi-Prize commitment; energy spread
EX_02,Dragapult ex / Dusknoir,Dragapult Dusknoir damage spread,validated,canonical_csv,high,control,mixed,high,high,19,32,9,26,Dragapult spread plus Dusknoir damage-counter bursts,evolution chain with targeted search and draw,engineer multi-KO turns by placing damage before taking prizes,damage-counter placement; Dusknoir timing; evolution sequencing,look-ahead benchmark for spread damage and prize mapping,multi-target pressure; strong comeback geometry; punishes crowded benches,complex sequencing; fragile setup pieces; self-KO prize timing
EX_03,Team Rocket's Mewtwo ex / Mimikyu,Team Rocket Mewtwo control,validated,canonical_csv,high,control,mixed,medium,high,15,32,13,22,Mewtwo ex as the main closer with Mimikyu tempo denial,Team Rocket synergy and disruption package,slow the opponent's prize pace and convert the resource lead,wall versus attack; disruption timing; when Mewtwo becomes safe,defensive switching and delayed-commitment benchmark,tempo denial; flexible prize plan; strong into narrow attack plans,passive turns; wall bypass; mistimed main-attacker exposure
EX_04,Slowking / Topdeck Toolbox,Slowking topdeck toolbox,validated,canonical_csv,high,toolbox,mostly_single,high,high,20,29,11,24,Slowking converts controlled topdecks into situational attacks,topdeck manipulation and a diverse attack toolbox,select the highest-value copied attack for each board state,topdeck construction; copied-attack choice; information preservation,"large action-space test for search, planning, and attack selection",broad answers; single-Prize trading; high tactical ceiling,ordering mistakes; setup dependence; poor default lines under uncertainty
EX_05,Grass Box / Ogerpon / Hydrapple,Grass energy toolbox,validated,canonical_csv,high,combo,mostly_multi,high,high,22,23,15,27,Hydrapple scaling from a wide Grass Energy board,Ogerpon energy acceleration and Meganium evolution support,build a distributed energy board and convert it into scalable KOs,bench expansion; energy placement; attacker and evolution choice,resource-allocation and bench-management benchmark,high scaling damage; multiple attackers; strong resource velocity,bench liability; setup density; energy stranded on the wrong target
EX_06,Mega Kangaskhan / Crustle / Petrel,Mega Kangaskhan disruption,validated,canonical_csv,high,control,mixed,medium,high,12,34,14,24,Mega Kangaskhan pressure with Crustle alternative lines,Petrel disruption layered over a compact Pokemon core,"reduce the opponent's options, then win a favorable prize trade",disruption window; wall selection; transition to damage,hand-disruption timing and role-transition benchmark,compact engine; disruptive turns; flexible prize pacing,low pressure when disruption misses; matchup-dependent walls; sequencing
EX_07,Alakazam / Dudunsparce / Nighttime Mine,Alakazam Nighttime Mine control,validated,canonical_csv,high,control,mostly_single,high,high,22,32,6,26,Alakazam attacks supported by Nighttime Mine board control,Dudunsparce cycling and repeatable single-Prize setup,deny clean targets while accumulating efficient attacks,bench compression; draw-cycle timing; stadium and target control,long-horizon single-Prize control and loop management,resilient prize map; repeatable draw; board-control options,low immediate damage; bench congestion; vulnerable setup turns
EX_08,Hop's Trevenant / Postwick,Hop Trevenant tempo,validated,canonical_csv,high,aggressive,mostly_single,low,medium,14,38,8,25,Hop's Trevenant applies efficient early single-Prize pressure,dense Trainer engine with Postwick support,attack continuously and force the opponent off curve,first attacker; supporter timing; maintaining the attack chain,"fast baseline for tempo, consistency, and low-branching play",early pressure; favorable prize map; Trainer consistency,limited ceiling; recovery after a missed attack; evolution interruption
EX_09,Mega Lopunny / Dudunsparce / Battle Cage,Mega Lopunny Battle Cage tempo,validated,canonical_csv,high,aggressive,mixed,medium,medium,16,36,8,22,Mega Lopunny pressure amplified by Battle Cage,Dudunsparce draw cycling and a dense Trainer shell,reach KO thresholds quickly while preserving draw continuity,stadium timing; draw-cycle management; two-Prize commitment,stadium-aware damage-threshold and tempo benchmark,fast pressure; reliable cycling; clear damage breakpoints,stadium replacement; bench targeting; overextension
EX_10,Mega Lucario / Fighting Box,Mega Lucario Fighting toolbox,validated,named_list_transcription,medium,midrange,mostly_multi,medium,medium,17,31,12,21,Mega Lucario ex backed by Fighting-type damage modifiers,Solrock and Lunatone support with Fighting Gong acceleration,assemble a powered Mega Lucario and preserve follow-up attackers,acceleration target; modifier timing; backup attacker selection,energy-acceleration and damage-modifier benchmark,direct pressure; scalable Fighting package; strong KO conversion,main-attacker concentration; modifier dependence; transcription confidence
